reference_name,activity_family,fra,eng,specie,usage,started_on,stopped_on,agroedi_crop_code,season,life_duration,idea_botanic_family,idea_specie_family,idea_output_family,support_unit
fattening_pig,animal_farming,Porcs charcutiers,Fattening pig,sus_scrofa,meat,01/09/00,31/08/01,,,1,,,,head
goose,animal_farming,Oies,Goose,anser_anser,meat,01/09/00,31/08/01,,,1,,,,head
guinea_fowl,animal_farming,Pintades,Guinea fowl,numida_meleagris,meat,01/09/00,31/08/01,,,1,,,,head
insect,animal_farming,Insectes,Insect,,protein,01/09/00,31/08/01,,,1,,,,head
kid,animal_farming,Chevreaux,Kid,capra_hircus,meat,01/09/00,31/08/01,,,1,,,,head
lamb,animal_farming,Agneaux,Lamb,ovis_aries,meat,01/09/00,31/08/01,,,1,,,,head
laying_hen,animal_farming,Poules pondeuses,Laying hen,gallus_gallus,egg,01/09/00,31/08/01,,,2,,,,head
llama,animal_farming,Lamas,Llama,,wool,01/09/00,31/08/01,,,15,,,,head
meat_ewe,animal_farming,Brebis allaitantes,Meat ewe,ovis_aries,meat,01/09/00,31/08/01,,,7,,,,head
meat_goat,animal_farming,Chèvres allaitantes,Meat goat,capra_hircus,meat,01/09/00,31/08/01,,,8,,,,head
milk_ewe,animal_farming,Brebis laitières,Milk ewe,ovis_aries,milk,01/09/00,31/08/01,,,7,,,,head
milk_goat,animal_farming,Chèvres laitières,Milk goat,capra_hircus,milk,01/09/00,31/08/01,,,8,,,,head
mussel,animal_farming,Moules,Mussel,mytilus_edulis,shellfish,01/09/00,31/08/01,,,2,,,,head
ostrich,animal_farming,Autruches,Ostrich,struthio_camelus,meat,01/09/00,31/08/01,,,15,,,,head
oyster,animal_farming,Huîtres,Oyster,crassostrea_gigas,shellfish,01/09/00,31/08/01,,,3,,,,head
pigeon,animal_farming,Pigeons,Pigeon,,meat,01/09/00,31/08/01,,,1,,,,head
piglet,animal_farming,Porcelets,Piglet,sus_scrofa,meat,01/09/00,31/08/01,,,1,,,,head
pony,animal_farming,Poneys,Pony,equus_caballus,leisure,01/09/00,31/08/01,,,20,,,,head
quail,animal_farming,Cailles,Quail,,meat,01/09/00,31/08/01,,,1,,,,head
queen_bee,animal_farming,Reines d'abeilles,Queen bee,apis_mellifera,reproduction,01/09/00,31/08/01,,,3,,,,head
rabbit,animal_farming,Lapins,Rabbit,oryctolagus_cuniculus,meat,01/09/00,31/08/01,,,1,,,,head
race_horse,animal_farming,Chevaux de course,Race horse,equus_caballus,race,01/09/00,31/08/01,,,20,,,,head
ram,animal_farming,Béliers,Ram,ovis_aries,reproduction,01/09/00,31/08/01,,,8,,,,head
saddle_horse,animal_farming,Chevaux de selle,Saddle horse,equus_caballus,leisure,01/09/00,31/08/01,,,20,,,,head
salmon,animal_farming,Saumons,Salmon,salmo_salar,fish,01/09/00,31/08/01,,,3,,,,head
scallop,animal_farming,Coquilles Saint-Jacques,Scallop,pecten_maximus,shellfish,01/09/00,31/08/01,,,3,,,,head
snail,animal_farming,Escargots,Snail,helix_aspersa,meat,01/09/00,31/08/01,,,1,,,,head
sow,animal_farming,Truies,Sow,sus_scrofa,reproduction,01/09/00,31/08/01,,,5,,,,head
sturgeon,animal_farming,Esturgeons,Sturgeon,acipenser,caviar,01/09/00,31/08/01,,,10,,,,head
trout,animal_farming,Truites,Trout,,fish,01/09/00,31/08/01,,,3,,,,head
turkey,animal_farming,Dindes,Turkey,meleagris_gallopavo,meat,01/09/00,31/08/01,,,1,,,,head
