n,name,article_id,price,currency,packaging,date
158,2090072_bulk,2090072,765,euro,kilo_bulk,01/01/2020
159,8900681_bulk,8900681,12,euro,liter_bulk,01/01/2020
160,9600195_bulk,9600195,30,euro,liter_bulk,01/01/2020
161,2010239_bulk,2010239,17,euro,liter_bulk,01/01/2020
162,2100140_bulk,2100140,30,euro,liter_bulk,01/01/2020
163,2160208_bulk,2160208,20,euro,liter_bulk,01/01/2020
164,2160005_bulk,2160005,22,euro,liter_bulk,01/01/2020
165,2170933_bulk,2170933,55,euro,kilo_bulk,01/01/2020
166,2010030_bulk,2010030,27,euro,liter_bulk,01/01/2020
167,9100046_bulk,9100046,21,euro,liter_bulk,01/01/2020
168,2160384_bulk,2160384,53,euro,liter_bulk,01/01/2020
169,2140082_bulk,2140082,40,euro,liter_bulk,01/01/2020
