N°,name,previous_name,label_fr,fr_pcg82,fr_pcga
45,profit_or_loss_carried_forward,retained_earnings,Report à nouveau (solde créditeur ou débiteur),11,11
46,profit_carried_forward,credit_retained_earnings,Report à nouveau (solde créditeur),110,110
47,loss_carried_forward,debit_retained_earnings,Report à nouveau (solde débiteur),119,119
48,profit_or_loss_for_the_financial_year,financial_year_result,Résultat de l'exercice (bénéfice ou perte),12,12
49,profit_for_the_financial_year,financial_year_result_profit,Résultat de l'exercice (bénéfice),120,120
50,,financial_year_result_balance,,128,128
51,loss_for_the_financial_year,financial_year_result_loss,Résultat de l'exercice (perte),129,129
52,investment_grants,,Subventions d'investissement,13,13
53,equipment_grants,equipment_subventions,Subventions d'équipement,131,131
54,other_investment_grants,other_investment_subventions,Autres subventions d'investissement,138,138
55,investment_grants_credited_to_the_profit_and_loss_account,other_investment_subventions_in_earnings_statement,Subventions d'investissement inscrites au compte de résultat,139,139
56,equipment_grants_credited_to_the_profit_and_loss_account,,Subventions d'équipement inscrites au compte de résultat,1391,1391
57,other_investment_grants_credited_to_the_profit_and_loss_account,,Subventions d’investissement inscrites au compte de résultat,1398,1398
58,tax_regulated_provisions,,Provisions réglementées,14,14
59,tax_regulated_provisions_related_to_fixed_assets,,Provisions réglementées relatives aux immobilisations,142,142
60,provisions_for_investment_employee_profit_share,,Provisions pour investissement (participation des salariés),1424,1424
61,tax_regulated_provisions_relating_to_stocks,,Provisions réglementées relatives aux stocks,143,143
62,tax_regulated_provisions_for_price_increase_relating_to_stocks,,Provisions réglementées relatives aux stocks : hausse de prix,1431,1431
63,tax_regulated_provisions_relating_to_other_asset_components,,Provisions réglementées relatives aux autres éléments de l'actif,144,144
64,amortization_by_derogation,,Amortissements dérogatoires,145,145
65,special_revaluation_provision,,Provision spéciale de réévaluation,146,146
66,capital_gain_reinvested,,Plus-values réinvesties,147,147
67,other_tax_related_provisions,,Autres provisions réglementées,148,148
68,provisions_for_liability_and_charges,,Provisions (Règl. CRC 2005-9),15,15
69,provisions_for_liability,,Provisions pour risques,151,151
70,provisions_for_litigation,,Provisions pour litiges,1511,1511
71,provisions_for_customer_warranties,,Provisions pour garanties données aux clients,1512,1512
72,provisions_for_losses_on_futures,,Provisions pour pertes sur marchés à terme,1513,1513
73,provisions_for_fines_and_penalties,,Provisions pour amendes et pénalités,1514,1514
74,provisions_for_foreign_exchange_losses,,Provisions pour pertes de change,1515,1515
75,provisions_for_losses_on_contract,,Provisions pour pertes sur contrats (Règl. CRC 2000-6),1516,1516
76,other_provisions_for_liabilities,,Autres provisions pour risques,1518,1518
77,provisions_for_pensions_and_similar_obligations,,Provisions pour pensions et obligations similaires,153,153
78,provisions_for_restructuring,,Provisions pour restructurations (Règl. CRC 2000-6),154,154
79,provisions_for_taxation,,Provisions pour impôts,155,155
80,provisions_for_fixed_asset_renewal_concession_entities,,Provisions pour renouvellement des immobilisations (entreprises concessionnaires),156,156
81,provisions_for_deferred_charges,,Provisions pour charges à répartir sur plusieurs exercices,157,157
82,provisions_for_major_repairs,,Provisions pour gros entretien ou grandes révisions (Règl. CRC 2003-7),1572,1572
83,other_provisions_for_charges,,Autres provisions pour charges,158,158
84,provisions_for_restoration,,Provisions pour remises en état (Règl. CRC 2000-6),1581,1581
85,loans_and_similar_debts_payable,,Emprunts et dettes assimilées,16,16
86,convertible_debenture_loans,,Emprunts obligataires convertibles,161,161
87,other_debenture_loans,,Autres emprunts obligataires,163,163
88,loans_from_credit_institutions,loans,Emprunts auprès des établissements de crédit,164,164
89,,land_loans,Emprunts fonciers,,1641
90,other_medium_and_long_term_loans,long_term_loans,Autres emprunts à moyen et long terme,,1642
91,,short_term_loans,Emprunts à court terme,,1643
92,deposit_and_sureties_recieved,,Dépôts et cautionnements reçus,165,165
93,deposits,,Dépôts,1651,1651
94,sureties,,Cautionnements,1655,1655
95,employee_profit_share,,Participation des salariés aux résultats de l’entreprise,166,166
96,blocked_accounts,,Comptes bloqués,1661,1661
97,profit_share_funds,,Fonds de participation,1662,1662
98,loans_and_debts_payable_subject_to_particular_conditions,,Emprunts et dettes assortis de conditions particulières,167,167
99,issues_of_non_voting_shares,,Emissions de titres participatifs,1671,1671
100,advances_by_the_state_subject_to_conditions,,Avances conditionnées de l'Etat,1674,1674
101,participating_loans,,Emprunts participatifs,1675,1675
102,other_loans_and_similar_debts_payable,,Autres emprunts et dettes assimilées,168,168
103,other_loans,,Autres emprunts,1681,1681
104,capitalised_life_annuities,,Rentes viagères capitalisées,1685,1685
105,other_debts_payable,,Autres dettes,1687,1687
106,,accrued_interests,Intérêts courus,1688,1688
107,accrued_interests_on_convertible_debenture_loans,,Intérêts courus sur emprunts obligataires convertibles,16881,16881
108,accrued_interests_on_other_debenture_loans,,Intérêts courus sur autres emprunts obligataires,16883,16883
109,accrued_interests_on_loans_from_credit_institutions,accrued_interests_on_bank,Intérêts courus sur emprunts auprès des établissements de crédit,16884,16884
110,accrued_interests_on_deposits_and_sureties_recieved,,Intérêts courus sur dépôts et cautionnements reçus,16885,16885
111,accrued_interests_on_employee_profit_share,,Intérêts courus sur participation des salariés aux résultats,16886,16886
112,accrued_interests_on_loans_and_debts_payable_subject_to_particular_conditions,,Intérêts courus sur emprunts et dettes assortis de conditions particulières,16887,16887
113,accrued_interests_on_other_loans_and_similar_debts_payable,,Intérêts courus sur autres emprunts et dettes assimilées,16888,16888
114,debt_redemption_premiums,,Primes de remboursement des obligations,169,169
115,debts_payable_related_to_participating_interest,,Dettes rattachées à des participations,17,17
116,debts_payable_related_to_participating_interests_(group),,Dettes rattachées à des participations (groupe),171,171
117,debts_payable_related_to_participating_interests_(apart_from_group),,Dettes rattachées à des participations (hors groupe),174,174
118,debts_payable_related_to_joint_venture,,Dettes rattachées à des sociétés en participation,178,178
119,principal_on_debts_payable_related_to_joint_venture,,Principal,1781,1781
120,accrued_interests_on_debts_payable_related_to_joint_venture,,Intérêts courus,1788,1788
121,reciprocal_branch_and_joint_venture_accounts,,Comptes de liaison des établissements et sociétés en participation,18,18
122,reciprocal_branch_accounts,,Comptes de liaison des établissements,181,181
123,goods_and_services_exchanged_between_establishments_(charges),,Biens et prestations de services échangés entre établissements (charges),186,186
124,goods_and_services_exchanged_between_establishments_(income),,Biens et prestations de services échangés entre établissements (produits),187,187
125,reciprocal_joint_venture_accounts,,Comptes de liaison des sociétés en participation,188,188
126,,fixed_assets,Comptes d’immobilisations,2,2
127,,incorporeal_assets,Immobilisations incorporelles,20,20
128,,establishment_charge_assets,Frais d’établissement,201,201
129,incorporation_costs,,Frais de constitution,2011,2011
130,start_up_costs,,Frais de premier établissement,2012,2012
131,commercial_assesment_costs,,Frais de prospection,20121,20121
132,marketing_costs,,Frais de publicité,20122,20122
133,"capital_increase_and_sundry_transaction_costs_(mergers,_demergers,_restructurations)",,"Frais d’augmentation de capital et d’opérations diverses (fusion, scissions, transformations)",2013,2013
134,,research_and_development_charge_assets,Frais de recherche et développement,203,203
135,,brands_and_patents_assets,"Concessions et droits similaires, brevets, licences, marques, procédés, logiciels, droits et valeurs similaires",205,205
136,lease_premium,,Droit au bail,206,206
137,commercial_property,,Fonds commercial,207,207
138,residual_gap_on_goodwill,,Écart résiduel sur fonds agricole,,2071
139,,other_incorporeal_assets,Autres immobilisations incorporelles,208,208
140,single_farm_payment,,Droits à paiement unique,,2081
141,,corporeal_assets,Immobilisations corporelles (hors biens vivants),21,21
142,,global_land_parcel_assets,Terrains,211,211
143,undeveloped_land,land_parcel_assets,Terrains nus,2111,2111
144,undeveloped_land_with_owner_farming,,Terrains nus exploités en faire-valoir direct,,21111
145,other_undeveloped_land,,Autres terrains nus,,21112
146,serviced_land,,Terrains aménagés,2112,2112
147,undergroud_and_aboveground_sites,,Sous-sols et sur-sols,2113,2113
148,minig_sites,,Terrains de gisement,2114,2114
149,developed_land,,Terrains bâtis,2115,2115
150,developed_land_assigned_to_agricultural_property_complexes,,Affectés à la production agricole,,21151
151,developed_land_assigned_to_other_professional_activity,,Affectés à une autres activité professionnelle,,21155
152,developed_land_assigned_to_non_professional_activity,,Affectés à des opérations non professionnelles,,21158
153,suspense_account_for_non_amortizable_fixed_asset,,Compte d'ordre sur immobilisations (art. 6 du décret n° 78-737 du 11-7-1978 art. 6),2116,2116
154,site_development,land_parcel_construction_assets,Agencement et aménagement de terrains,212,212
155,amortizable_site_development,,Amortissables,,2121
156,non_amortizable_site_development,,Non amortissables,,2125
157,,construction_on_own_land_parcel_assets,Constructions (sur sol propre),213,213
158,,building_assets,Bâtiments,2131,2131
159,buildings_assigned_to_agricultural_property_complexes,,Affectés à la production agricole,,21311
160,buildings_assigned_to_other_professional_activity,,Affectés à une autres activité professionnelle,,21315
161,buildings_assigned_to_non_professional_activity,,Affectés à des opérations non professionnelles,,21318
162,buildings_fixtures_and_fittings,general_installation_assets,Installations générales - agencements – aménagements des constructions,2135,2135
163,buildings_fixtures_and_fittings_assigned_to_agricultural_property_complexes,,Affectés à la production agricole,,21351
164,buildings_fixtures_and_fittings_assigned_to_other_professional_activity,,Affectés à une autres activité professionnelle,,21355
165,buildings_fixtures_and_fittings_assigned_to_non_professional_activity,,Affectés à des opérations non professionnelles,,21358
166,infrastructure_works,,Ouvrages d'infrastructure,2138,2138
167,constructions_on_third_party_sites,construction_on_other_land_parcel_assets,Construction sur sol d’autrui,214,214
168,building_assets_on_third_party_sites,,Bâtiments,2141,2141
169,buildings_assigned_to_agricultural_property_complexes_on_third_party_sites,,Affectés à la production agricole,,21411
170,buildings_assigned_to_other_professional_activity_on_third_party_sites,,Affectés à une autres activité professionnelle,,21415
171,buildings_assigned_to_non_professional_activity_on_third_party_sites,,Affectés à des opérations non professionnelles,,21418
172,buildings_fixtures_and_fittings_on_third_party_sites,,Installations générales - agencements – aménagements des constructions,2145,2145
173,buildings_fixtures_and_fittings_assigned_to_agricultural_property_complexes_on_third_party_sites,,Affectés à la production agricole,,21451
174,buildings_fixtures_and_fittings_assigned_to_other_professional_activity_on_third_party_sites,,Affectés à une autres activité professionnelle,,21455
175,buildings_fixtures_and_fittings_assigned_to_non_professional_activity_on_third_party_sites,,Affectés à des opérations non professionnelles,,21458
176,infrastructure_development_on_third_party_sites,,Ouvrages d'infrastructure,2148,2148
177,,technical_installation_equipment_and_tools_assets,"Installations techniques, matériels et outillage",215,215
178,technical_installation_on_own_site,technical_installation_on_own_land_parcel_assets,Installations techniques (sur sol propre),,2151
179,technical_installation_on_third_party_site,technical_installation_on_other_land_parcel_assets,Installations techniques (sur sol d’autrui),,2152
180,,equipment_assets,Matériel,2154,2154
181,,tools_assets,Outillage,2155,2155
182,fixtures_and_fittings_for_equipment_and_tools,,Agencements et aménagements du matériel et outillage,2157,2157
183,improvement_of_commercial_property,,Améliorations du fonds,,217
184,other_tangible_fixed_assets,other_corporeal_assets,Autres immobilisations corporelles (hors biens vivants),218,218
185,sundry_general_fixture_and_fittings,other_general_installation_assets,"Installations générales, agencements, aménagements divers",2181,2181
186,transport_equipment,transport_vehicle_assets,Matériel de transport,2182,2182
187,office_and_computing_equipment,office_equipment_assets,Matériel de bureau et matériel informatique,2183,2183
188,furnishing,office_furniture_assets,Mobilier,2184,2184
189,recoverable_packaging,sustainable_packaging_assets,Emballages récupérables,2186,2186
190,other_type_of_other_tangible_fixed_assets,other_assets,Autres,,2188
191,fixed_assets_in_concession,concession_assets,Immobilisations mises en concession,22,22
192,fixed_assets_in_progress,outstanding_assets,Immobilisations en cours,23,23
193,tangible_fixed_asset_in_progress,outstanding_corporeal_assets,Immobilisations corporelles en cours (hors biens vivants),231,231
194,land_tangible_fixed_asset_in_progress,outstanding_land_parcel_assets,Terrains,2312,2311
195,constructions_on_own_land__tangible_fixed_asset_in_progress,outstanding_construction_on_own_land_parcel_assets,Constructions (sur sol propre),,2313
196,constructions_on_third_party_land__tangible_fixed_asset_in_progress,outstanding_construction_on_other_land_parcel_assets,Constructions (sur sol d’autrui),,2314
197,technical_installation_equipment_and_tools_fixed_asset_in_progress,outstanding_equipment_assets,"Installations techniques, matériel et outillage industriels",2315,2315
198,other_tangible_fixed_asset_in_progress,outstanding_other_general_installation_assets,Autres immobilisations corporelles (hors biens vivants),2318,2318
199,intangible_fixed_asset_in_progress,,Immobilisations incorporelles en cours,232,232
200,living_tangible_fixed_asset_in_progress,outstanding_living_corporeal_assets,Immobilisations corporelles en cours (biens vivants),,234
201,breeding_animals_young_for_renewal_tangible_fixed_asset_in_progress,outstanding_adult_animal_assets,Animaux reproducteurs (jeunes de renouvellement),,2341
202,,outstanding_young_animal_assets,,,2342
203,service_animals_tangible_fixed_asset_in_progress,outstanding_service_animal_assets,Animaux de service,,2343
204,long_term_plantation_tangible_fixed_asset_in_progress,outstanding_sustainables_plants_assets,Plantations pérennes,,2346
205,other_plants_tangible_fixed_asset_in_progress,,Autres végétaux immobilisés,,2347
206,payments_on_account_on_intangible_fixed_assets,,Avances et acomptes versés sur immobilisations incorporelles,237,237
207,payments_on_account_on_orders_for_tangible_fixed_assets,,Avances et acomptes versés sur commandes d'immobilisations corporelles,238,238
208,payments_on_account_on_orders_for_tangible_fixed_assets_except_for_livestock,,Immobilisations corporelles (hors biens vivants),,2381
209,payments_on_account_on_orders_for_tangible_fixed_assets_for_livestock,,Immobilisations corporelles (biens vivants),,2384
210,tangible_fixed_assets_for_living_goods,living_corporeal_assets,Immobilisations corporelles (biens vivants),,24
211,adult_breeding_animals_tangible_fixed_asset,adult_animal_assets,Animaux reproducteurs (adultes),,241
212,breeding_animals_young_for_renewal_tangible_fixed_asset,young_animal_assets,Animaux reproducteurs (jeunes de renouvellement),,242
213,service_animals_tangible_fixed_asset,service_animal_assets,Animaux de service (adultes),,243
214,long_term_plantation_tangible_fixed_asset,sustainables_plants_assets,Plantations pérennes,,246
215,,sustainables_plants_on_own_land_parcel_assets,,,2461
216,,sustainables_plants_on_other_land_parcel_assets,,,2465
217,,installation_sustainable_plant_assets,,,2467
218,other_immobilized_plants,,Autres végétaux immobilisés,,247
219,shares_in_and_receivables_due_from_affiliated_entites,,Parts dans des entreprises liées et créances sur des entreprises liées,25,25
220,participated_interest_and_related_debts_receivable,participations,Participations et créances rattachées à des participations,26,26
221,long_term_equity_interests,equity_securities,Titres de participation,261,261
222,shares_from_long_term_equity_interests,,Actions,2611,2611
223,other_securities_fromlong_term_equity_interests,,Autres titres,2618,2618
224,professional_agricultural_organization_interests,professional_agricultural_organization_assets,Participations à des organismes professionnels agricoles autres que des établissements de crédit,,262
225,cooperative_participation_interests,cooperative_participation_assets,Sociétés coopératives agricoles (sauf Cuma),,2621
226,equipment_cooperative_participation_interests,equipment_cooperative_participation_assets,Cuma,,2622
227,collective_agricultural_interest_companies_interests,industrial_cooperative_participation_assets,Sica,,2624
228,other_professional_agricultural_participation_interests,other_professional_agricultural_participation_assets,Autres,,2628
229,other_categories_of_participating_interest,,Autres formes de participation,266,266
230,debt_receivable_related_to_participating_interest,,Créances rattachées à des participations,267,267
231,debt_receivable_related_to_participating_interest_in_the_group,,Créances rattachées à des participations (groupe),2671,2671
232,debt_receivable_related_to_participating_interest_in_professional_agricultural_organization_interests,,Créances rattachées à des participations à des organismes professionnels agricoles (autres que les établissements de crédit),,2672
233,debt_receivable_related_to_participating_interest_in_agricultural_cooperative_companies,,Sociétés coopératives agricoles (sauf Cuma),,26721
234,debt_receivable_related_to_participating_interest_in_equipment_cooperative_companies,,Cuma,,26722
235,debt_receivable_related_to_participating_interest_in_collective_agricultural_interest_companies,,Sica,,26724
236,debt_receivable_related_to_participating_interest_in_other_agricultural_companies,,Autres,,26728
237,debt_receivable_related_to_participating_interest_apart_from_the_group,,Créances rattachées à des participations (hors groupe),2674,2674
238,payments_representing_non_capitalisez_contributions_call_for_funds,,Versements représentatifs d'apports non capitalisés (appel de fonds),2675,2675
239,long_term_capital_advances,,Avances consolidables,2676,2676
240,debt_receivable_related_to_joint_venture,,Créances rattachées à des sociétés en participation,268,268
241,principal_of_debt_receivable_related_to_joint_venture,,Principal,2681,2681
242,accrued_interest,,Intérêts courus,2688,2688
243,unpaid_instalments_on_unpaid_long_term_equity_interests,,Versements restant à effectuer sur des titres de participation non libérés,269,269
244,unpaid_instalments_on_unpaid_long_term_equity_interests_on_equity_securities,,Sur titres de participation,,2691
245,unpaid_instalments_on_unpaid_long_term_equity_interests_on_participation_in_professional_agricultural_organizations,,Sur participation à des organismes professionnels agricoles (autres que les établissements de crédit),,2692
246,unpaid_instalments_on_unpaid_long_term_equity_interests_on_other_form_of_participation,,Sur autres formes de participation,,2696
247,other_financial_fixed_asset,,Autres immobilisations financières,27,27
248,ownership_of_fixed_securities,ownership_assets,Titres immobilisés (droit de propriété),,271
249,ownership_of_fixed_shares,,Actions,2711,2711
250,ownership_of_fixed_shareholding_in_financial_institution,,Parts dans les établissements de crédit,,2715
251,ownership_of_fixed_other_securities,,Autres titres,2718,2718
252,long_term_investment_debt_securities,,Titres immobilisés (droits de créance),272,272
253,long_term_investment_debt_securities_in_bonds,,Obligations,2721,2721
254,long_term_investment_debt_securities_in_warrants,,Bons,2722,2722
255,long_term_investment_debt_securities_in_cooperative_development_funds_share_certificates,,Certificat de fonds de développement coopératif,,2723
256,portfolio_long_term_investment_securities,,Titres immobilisés de l’activité de portefeuille,273,273
257,loans,ownership_loan,Prêts,274,274
258,participating_loans,,Prêts participatifs,2741,2741
259,loans_to_partners_or_associates,,Prêts aux associés,2742,2742
260,loans_to_personnel,,Prêts personnels,2743,2743
261,other_loans,,Autres prêts,2748,2748
262,deposits_and_sureties_advanced,payment_guarantees,Dépôts et cautionnements versés,275,275
263,deposits_advanced,,Dépôts,2751,2751
264,sureties_advanced,,Cautionnements,2755,2755
265,other_capitalised_debts_receivable,,Autres créances immobilisées,276,276
266,sundry_debts_receivable,,Créances diverses,2761,2761
267,accrued_interests_on_other_capitalised_debts_receivable,,Intérêts courus,2768,2768
268,accrued_interests_on_other_capitalised_long_term_investment_debts_securities,,Sur titres immobilisés (droits de créance),27682,27682
269,accrued_interests_on_other_capitalised_loans,,Sur prêts,27684,27684
270,accrued_interests_on_other_capitalised_deposits_and_sureties,,Sur dépôts et cautionnements,27685,27685
271,accrued_interests_on_other_capitalised_sundry_debts_receivable,,Sur créances diverses,27688,27688
272,own_shares,,(Actions propres ou parts propres),277,277
273,unpaid_instalments_on_unpaid_long_term_investment_securities,,Versements restant à effectuer sur des titres immobilisés non libérés,279,279
274,cumulative_amortization_on_fixed_assets,fixed_asset_depreciations,AMORTISSEMENT DES IMMOBILISATIONS,28,28
275,amortization_on_intangible_fixed_assets,incorporeal_asset_depreciations,Amortissement des immobilisations incorporelles,280,280
276,establishment_charge_assets_amortization,,Frais d’établissement,2801,2801
277,incorporation_costs_amortization,,Frais de constitution,28011,28011
278,start_up_costs_amortization,,Frais de premier établissement,28012,28012
279,commercial_assesment_costs_amortization,,Frais de prospection,280121,280121
280,marketing_costs_amortization,,Frais de publicité,280122,280122
281,amortization_on_capital_increase_and_sundry_transaction_costs_on_mergers_demergers_restructurations,,"Frais d’augmentation de capital et d’opérations diverses (fusion, scissions, transformations)",28013,28013
282,research_and_development_charge_assets_amortization,,Frais de recherche et développement,2803,2803
283,brands_and_patents_assets_amortization,,"Concessions et droits similaires, brevets, licences, logiciels, droits et valeurs similaires",2805,2805
284,commercial_property_amortization,,Fonds commercial,2807,2807
285,amortization_on_other_intangible_fixed_assets,other_incorporeal_asset_depreciations,Autres immobilisations incorporelles,2808,2808
286,amortization_on_tangible_fixed_assets,corporeal_asset_depreciations,Amortissement des immobilisations corporelles,281,281
287,mining_site_amortization,land_parcel_asset_depreciations,Terrains de gisement,2811,2811
288,site_development_amortization,land_parcel_construction_asset_depreciations,Agencement et aménagement de terrains amortissables,2812,2812
289,construction_amortization,own_building_asset_depreciations,Constructions sur sol propre,2813,2813
290,building_assets_amortization,,Bâtiments,28131,28131
291,buildings_assigned_to_agricultural_property_complexes_amortization,,Affectés à la production agricole,,281311
292,buildings_assigned_to_other_professional_activity_amortization,,Affectés à une autres activité professionnelle,,281315
293,buildings_assigned_to_non_professional_activity_amortization,,Affectés à des opérations non professionnelles,,281318
294,general_installation_assets_amortization,,Installations générales - agencements – aménagements des constructions,28135,28135
295,buildings_fixtures_and_fittings_assigned_to_agricultural_property_complexes_amortization,,Affectés à la production agricole,,281351
296,buildings_fixtures_and_fittings_assigned_to_other_professional_activity_amortization,,Affectés à une autres activité professionnelle,,281355
297,buildings_fixtures_and_fittings_assigned_to_non_professional_activity_amortization,,Affectés à des opérations non professionnelles,,281358
298,infrastructure_works_amortization,,Ouvrages d'infrastructure,28138,28138
299,constructions_on_third_party_sites_amortization,other_building_asset_depreciations,Construction sur sol d’autrui,2814,2814
300,building_assets_on_third_party_sites_amortization,,Bâtiments,28141,28141
301,buildings_assigned_to_agricultural_property_complexes_on_third_party_sites_amortization,,Affectés à la production agricole,,281411
302,buildings_assigned_to_other_professional_activity_on_third_party_sites_amortization,,Affectés à une autres activité professionnelle,,281415
303,buildings_assigned_to_non_professional_activity_on_third_party_sites_amortization,,Affectés à des opérations non professionnelles,,281418
304,buildings_fixtures_and_fittings_on_third_party_sites_amortization,,Installations générales - agencements – aménagements des constructions,28145,28145
305,buildings_fixtures_and_fittings_assigned_to_agricultural_property_complexes_on_third_party_sites_amortization,,Affectés à la production agricole,,281451
306,buildings_fixtures_and_fittings_assigned_to_other_professional_activity_on_third_party_sites_amortization,,Affectés à une autres activité professionnelle,,281455
307,buildings_fixtures_and_fittings_assigned_to_non_professional_activity_on_third_party_sites_amortization,,Affectés à des opérations non professionnelles,,281458
308,infrastructure_development_on_third_party_sites_amortization,,Ouvrages d'infrastructure,28148,28148
309,technical_installation_equipment_and_tools_amortization,equipment_asset_depreciations,"Installations techniques, matériels et outillage",2815,2815
310,technical_installation_on_own_land_parcel_assets_amortization,,Installations techniques (sur sol propre),,28151
311,technical_installation_on_other_land_parcel_assets_amortization,,Installations techniques (sur sol d’autrui),,28152
312,equipment_assets_amortization,,Matériel,28154,28154
313,tools_assets_amortization,,Outillage,28155,28155
314,fixtures_and_fittings_for_equipment_and_tools_amortization,,Agencements et aménagements du matériel et outillage,28157,28157
315,improvement_of_commercial_property_amortization,,Améliorations du fonds,,2817
316,other_tangible_fixed_assets_amortization,other_corporeal_asset_depreciations,Autres immobilisations corporelles (hors biens vivants),2818,2818
317,sundry_general_fixture_and_fittings_amortization,general_installation_asset_depreciations,"Installations générales, agencements, aménagements divers",28181,28181
318,transport_equipment_amortization,transport_vehicle_asset_depreciations,Matériel de transport,28182,28182
319,office_and_computing_equipment_amortization,office_equipment_asset_depreciations,Matériel de bureau et matériel informatique,28183,28183
320,furnishing_amortization,office_furniture_asset_depreciations,Mobilier,28184,28184
321,recoverable_packaging_amortization,sustainable_packaging_asset_depreciations,Emballages récupérables,28186,28186
322,other_type_of_other_tangible_fixed_assets_amortization,other_asset_depreciations,Autres,,28188
323,amortization_on_depreciation_on_fixed_assets_in_concession,concession_asset_depreciations,Amortissement des immobilisations en concession,282,282
324,amortization_on_tangible_fixed_assets_for_living_goods,biocorporeal_asset_depreciations,Immobilisations corporelles (biens vivants),,284
325,amortization_on_adult_breeding_animals_tangible_fixed_asset,adult_animal_asset_depreciations,Animaux reproducteurs (adultes),,2841
326,amortization_on_breeding_animals_young_for_renewal_tangible_fixed_asset,young_animal_asset_depreciations,Animaux reproducteurs (jeunes de renouvellement),,2842
327,amortization_on_service_animals_tangible_fixed_asset,service_animal_asset_depreciations,Animaux de service (adultes),,2843
328,amortization_on_long_term_plantation_tangible_fixed_asset,sustainables_plants_asset_depreciations,Plantations pérennes,,2846
329,other_immobilized_plants_amortization,,Autres végétaux immobilisés,,2847
330,depreciation_for_diminution_in_value_of_fixed_assets,asset_impairment_losses,Dépréciation des immobilisations (Règl. CRC 2002-10),29,29
331,depreciation_for_diminution_in_value_of_intangible_fixed_assets,,Dépréciation des immobilisations incorporelles (Règl. CRC 2002-10),290,290
332,depreciation_for_diminution_in_value_of_trade_marks_processes_rights_and_similar_assets,,"Marques, procédés, droits et valeurs similaires",2905,2905
333,depreciation_for_diminution_in_value_of_lease_premium,,Droit au bail,2906,2906
334,depreciation_for_diminution_in_value_of_goodwill,,Fonds commercial et fonds agricole,2907,2907
335,depreciation_for_diminution_in_value_of_other_intangible_fixed_assets,,Autres immobilisations incorporelles,2908,2908
336,depreciation_for_diminution_in_value_of_single_farm_payment,,Droits à payement unique,,29081
337,depreciation_for_diminution_in_value_of_tangible_fixed_assets,,Dépréciation des immobilisations corporelles (hors biens vivants) (Règl.CRC 2002-10),291,291
338,depreciation_for_diminution_in_value_of_global_land_parcel_assets,,Terrains,2911,2911
339,depreciation_for_diminution_in_value_of_undeveloped_land,,Terrains nus,29111,29111
